client_id,month,logins,feature_usage_score,support_tickets
C0023,2026-03-01,33,0.612,1
C0023,2026-04-01,33,0.613,1
C0023,2026-05-01,36,0.665,1
C0023,2026-06-01,38,0.7,0
C0024,2026-01-01,50,0.838,0
C0024,2026-02-01,61,1.0,1
C0024,2026-03-01,61,1.0,0
C0024,2026-04-01,47,0.784,0
C0024,2026-05-01,56,0.936,0
C0024,2026-06-01,51,0.862,0
C0025,2026-01-01,49,0.412,0
C0025,2026-02-01,64,0.53,1
C0025,2026-03-01,61,0.506,1
C0025,2026-04-01,56,0.471,0
C0025,2026-05-01,51,0.426,0
C0025,2026-06-01,53,0.442,2
C0026,2026-01-01,54,0.563,1
C0026,2026-02-01,57,0.595,1
C0026,2026-03-01,57,0.602,3
C0026,2026-04-01,59,0.614,1
C0026,2026-05-01,63,0.662,2
C0026,2026-06-01,53,0.561,1
C0027,2026-01-01,19,0.693,2
C0027,2026-02-01,15,0.566,0
C0027,2026-03-01,13,0.502,1
C0027,2026-04-01,9,0.349,3
C0027,2026-05-01,6,0.243,3
C0027,2026-06-01,5,0.184,5
C0028,2026-01-01,51,0.741,0
C0028,2026-02-01,40,0.583,1
C0028,2026-03-01,49,0.713,0
C0028,2026-04-01,48,0.699,0
C0028,2026-05-01,42,0.602,1
C0028,2026-06-01,47,0.681,2
C0029,2026-01-01,58,0.856,3
C0029,2026-02-01,44,0.647,4
C0029,2026-03-01,45,0.664,4
C0029,2026-04-01,31,0.465,3
C0029,2026-05-01,26,0.384,2
C0029,2026-06-01,14,0.211,2
C0030,2026-01-01,22,0.918,1
C0030,2026-02-01,22,0.923,1
C0030,2026-03-01,21,0.846,0
C0030,2026-04-01,21,0.856,1
C0030,2026-05-01,20,0.817,1
C0030,2026-06-01,18,0.755,1
C0031,2026-01-01,36,0.878,0
C0031,2026-02-01,38,0.932,1
C0031,2026-03-01,35,0.86,1
C0031,2026-04-01,36,0.898,1
C0031,2026-05-01,34,0.828,1
C0031,2026-06-01,30,0.732,0
C0032,2026-01-01,24,0.733,0
C0032,2026-02-01,22,0.675,2
C0032,2026-03-01,18,0.534,3
C0032,2026-04-01,15,0.447,2
C0032,2026-05-01,10,0.315,0
C0032,2026-06-01,7,0.228,6
C0033,2026-01-01,20,0.618,0
C0033,2026-02-01,21,0.666,0
C0033,2026-03-01,26,0.812,0
C0033,2026-04-01,24,0.752,0
C0033,2026-05-01,23,0.711,2
C0033,2026-06-01,24,0.763,0
C0034,2026-01-01,58,0.499,1
C0034,2026-02-01,53,0.456,0
C0034,2026-03-01,50,0.43,1
C0034,2026-04-01,53,0.46,0
C0034,2026-05-01,48,0.416,2
C0034,2026-06-01,56,0.486,3
C0035,2026-01-01,45,0.651,3
C0035,2026-02-01,48,0.698,0
C0035,2026-03-01,34,0.494,2
C0035,2026-04-01,30,0.445,2
C0035,2026-05-01,17,0.25,3
C0035,2026-06-01,11,0.16,7
C0036,2026-01-01,21,0.496,0
C0036,2026-02-01,27,0.624,2
C0036,2026-03-01,22,0.507,0
C0036,2026-04-01,27,0.626,1
C0036,2026-05-01,24,0.555,1
C0036,2026-06-01,22,0.516,2
C0037,2026-01-01,20,0.547,1
C0037,2026-02-01,20,0.533,2
C0037,2026-03-01,17,0.466,2
C0037,2026-04-01,18,0.494,0
C0037,2026-05-01,20,0.531,2
C0037,2026-06-01,20,0.526,1
C0038,2026-01-01,25,0.713,2
C0038,2026-02-01,19,0.533,0
C0038,2026-03-01,18,0.505,2
C0038,2026-04-01,15,0.429,3
C0038,2026-05-01,9,0.265,2
C0038,2026-06-01,7,0.196,4
C0039,2026-01-01,14,0.698,1
C0039,2026-02-01,14,0.702,1
C0039,2026-03-01,17,0.847,0
C0039,2026-04-01,17,0.831,0
C0039,2026-05-01,17,0.849,0
C0039,2026-06-01,18,0.878,1
C0040,2026-01-01,35,0.609,2
C0040,2026-02-01,45,0.792,2
C0040,2026-03-01,41,0.719,0
C0040,2026-04-01,42,0.739,0
C0040,2026-05-01,38,0.667,2
C0040,2026-06-01,37,0.655,1
C0041,2026-01-01,57,0.595,2
C0041,2026-02-01,52,0.542,2
C0041,2026-03-01,36,0.379,3
C0041,2026-04-01,31,0.323,3
C0041,2026-05-01,22,0.239,1
C0041,2026-06-01,13,0.144,2
C0042,2026-01-01,25,0.593,1
C0042,2026-02-01,25,0.595,1
C0042,2026-03-01,26,0.617,2
C0042,2026-04-01,27,0.636,1
C0042,2026-05-01,21,0.495,2
C0042,2026-06-01,23,0.535,2
C0043,2026-01-01,46,0.418,0
C0043,2026-02-01,44,0.402,1
C0043,2026-03-01,49,0.446,2
C0043,2026-04-01,44,0.404,0
C0043,2026-05-01,43,0.392,1
C0043,2026-06-01,56,0.514,1
C0044,2026-01-01,61,0.694,1
C0044,2026-02-01,60,0.683,1
C0044,2026-03-01,59,0.666,1
C0044,2026-04-01,61,0.688,2
C0044,2026-05-01,57,0.649,0
C0044,2026-06-01,48,0.552,0
C0045,2026-01-01,25,0.652,3
C0045,2026-02-01,21,0.552,4
C0045,2026-03-01,16,0.428,4
C0045,2026-04-01,11,0.306,2
C0045,2026-05-01,11,0.294,3
C0045,2026-06-01,6,0.163,1
C0046,2026-01-01,28,0.485,0
C0046,2026-02-01,25,0.439,0
C0046,2026-03-01,29,0.507,0
C0046,2026-04-01,33,0.566,0
C0046,2026-05-01,31,0.531,0
C0046,2026-06-01,29,0.503,1
C0047,2026-01-01,43,0.357,1
C0047,2026-02-01,43,0.36,2
C0047,2026-03-01,45,0.376,1
C0047,2026-04-01,47,0.388,0
C0047,2026-05-01,47,0.392,2
C0047,2026-06-01,42,0.349,1
C0048,2026-01-01,16,0.622,1
C0048,2026-02-01,18,0.696,2
C0048,2026-03-01,15,0.597,1
C0048,2026-04-01,18,0.686,1
C0048,2026-05-01,19,0.739,1
C0048,2026-06-01,16,0.64,0
C0049,2026-01-01,47,0.656,3
C0049,2026-02-01,61,0.846,0
C0049,2026-03-01,52,0.717,0
C0049,2026-04-01,58,0.806,3
C0049,2026-05-01,51,0.704,1
C0049,2026-06-01,61,0.838,0
C0050,2026-01-01,24,0.501,2
C0050,2026-02-01,20,0.425,2
C0050,2026-03-01,14,0.302,1
C0050,2026-04-01,11,0.245,1
C0050,2026-05-01,9,0.19,3
C0050,2026-06-01,5,0.124,4
C0051,2026-01-01,49,0.53,4
C0051,2026-02-01,33,0.36,6
C0051,2026-03-01,34,0.375,0
C0051,2026-04-01,22,0.247,1
C0051,2026-05-01,17,0.184,5
C0051,2026-06-01,11,0.123,5
C0052,2026-01-01,34,0.698,1
C0052,2026-02-01,34,0.699,0
C0052,2026-03-01,33,0.695,0
C0052,2026-04-01,34,0.71,0
C0052,2026-05-01,33,0.692,0
C0052,2026-06-01,29,0.596,0
C0053,2026-01-01,41,0.843,3
C0053,2026-02-01,36,0.755,0
C0053,2026-03-01,39,0.803,1
C0053,2026-04-01,38,0.787,0
C0053,2026-05-01,38,0.778,1
C0053,2026-06-01,30,0.632,1
C0054,2026-01-01,47,0.558,0
C0054,2026-02-01,51,0.608,0
C0054,2026-03-01,46,0.545,1
C0054,2026-04-01,41,0.489,0
C0054,2026-05-01,38,0.461,1
C0054,2026-06-01,44,0.53,2
C0055,2026-01-01,49,0.74,0
C0055,2026-02-01,52,0.788,0
C0055,2026-03-01,42,0.639,0
C0055,2026-04-01,50,0.753,0
C0055,2026-05-01,41,0.614,1
C0055,2026-06-01,54,0.811,2
C0056,2026-01-01,21,0.487,3
C0056,2026-02-01,18,0.411,1
C0056,2026-03-01,14,0.338,2
C0056,2026-04-01,11,0.248,4
C0056,2026-05-01,8,0.198,0
C0056,2026-06-01,5,0.128,2
C0057,2026-01-01,48,0.896,0
C0057,2026-02-01,39,0.727,1
C0057,2026-03-01,40,0.746,1
C0057,2026-04-01,41,0.763,0
C0057,2026-05-01,42,0.793,0
C0057,2026-06-01,47,0.877,3
C0058,2026-01-01,54,0.669,1
C0058,2026-02-01,40,0.494,2
C0058,2026-03-01,33,0.416,1
C0058,2026-04-01,26,0.328,3
C0058,2026-05-01,20,0.248,6
C0058,2026-06-01,13,0.163,2
C0059,2026-01-01,61,0.764,1
C0059,2026-02-01,50,0.634,6
C0059,2026-03-01,36,0.459,0
C0059,2026-04-01,29,0.367,1
C0059,2026-05-01,23,0.294,3
C0059,2026-06-01,13,0.166,1
C0060,2026-01-01,36,0.834,0
C0060,2026-02-01,35,0.83,0
C0060,2026-03-01,33,0.783,0
C0060,2026-04-01,33,0.781,2
C0060,2026-05-01,34,0.8,0
C0060,2026-06-01,38,0.888,0
C0061,2026-01-01,32,0.556,2
C0061,2026-02-01,32,0.551,0
C0061,2026-03-01,35,0.608,0
C0061,2026-04-01,30,0.527,2
C0061,2026-05-01,30,0.519,0
C0061,2026-06-01,34,0.588,0
C0062,2026-01-01,22,0.51,4
C0062,2026-02-01,21,0.493,1
C0062,2026-03-01,16,0.364,4
C0062,2026-04-01,12,0.295,5
C0062,2026-05-01,8,0.202,3
C0062,2026-06-01,5,0.135,2
C0063,2026-01-01,25,0.758,0
C0063,2026-02-01,27,0.829,0
C0063,2026-03-01,25,0.758,0
C0063,2026-04-01,23,0.719,2
C0063,2026-05-01,28,0.873,0
C0063,2026-06-01,24,0.75,0
C0064,2026-01-01,18,0.742,2
C0064,2026-02-01,18,0.765,4
C0064,2026-03-01,15,0.636,1
C0064,2026-04-01,17,0.716,3
C0064,2026-05-01,19,0.783,0
C0064,2026-06-01,15,0.647,3
C0065,2026-01-01,23,0.409,1
C0065,2026-02-01,22,0.386,3
C0065,2026-03-01,15,0.274,5
C0065,2026-04-01,14,0.25,5
C0065,2026-05-01,10,0.179,1
C0065,2026-06-01,5,0.1,3
C0066,2026-01-01,25,0.728,2
C0066,2026-02-01,21,0.619,3
C0066,2026-03-01,16,0.473,3
C0066,2026-04-01,16,0.462,1
C0066,2026-05-01,11,0.325,3
C0066,2026-06-01,6,0.179,1
C0067,2026-01-01,15,0.773,4
C0067,2026-02-01,16,0.812,4
C0067,2026-03-01,10,0.541,1
C0067,2026-04-01,10,0.53,3
C0067,2026-05-01,7,0.394,3
C0067,2026-06-01,4,0.208,4
C0068,2026-01-01,49,0.53,4
C0068,2026-02-01,43,0.466,0
C0068,2026-03-01,30,0.323,4
C0068,2026-04-01,21,0.234,1
C0068,2026-05-01,17,0.185,2
C0068,2026-06-01,11,0.127,5
C0069,2026-01-01,41,0.622,0
C0069,2026-02-01,36,0.549,2
C0069,2026-03-01,35,0.541,0
C0069,2026-04-01,40,0.614,1
C0069,2026-05-01,39,0.599,1
C0069,2026-06-01,35,0.537,0
C0070,2026-01-01,25,0.764,0
C0070,2026-02-01,28,0.86,0
C0070,2026-03-01,28,0.84,0
C0070,2026-04-01,28,0.857,0
C0070,2026-05-01,23,0.687,1
C0070,2026-06-01,25,0.765,1
C0071,2026-01-01,35,0.737,4
C0071,2026-02-01,25,0.525,2
C0071,2026-03-01,25,0.53,1
C0071,2026-04-01,20,0.421,0
C0071,2026-05-01,14,0.3,5
C0071,2026-06-01,8,0.172,2
C0072,2026-01-01,17,0.528,2
C0072,2026-02-01,22,0.687,0
C0072,2026-03-01,19,0.596,0
C0072,2026-04-01,22,0.679,0
C0072,2026-05-01,17,0.512,0
C0072,2026-06-01,19,0.579,1
C0073,2026-01-01,48,0.883,0
C0073,2026-02-01,40,0.731,1
C0073,2026-03-01,45,0.829,1
C0073,2026-04-01,36,0.663,1
C0073,2026-05-01,44,0.813,0
C0073,2026-06-01,45,0.822,1
C0074,2026-01-01,17,0.726,1
C0074,2026-02-01,16,0.659,0
C0074,2026-03-01,19,0.775,1
C0074,2026-04-01,20,0.827,2
C0074,2026-05-01,20,0.819,1
C0074,2026-06-01,19,0.793,0
C0075,2026-01-01,66,0.516,0
C0075,2026-02-01,55,0.431,2
C0075,2026-03-01,61,0.474,1
C0075,2026-04-01,54,0.42,1
C0075,2026-05-01,52,0.408,2
C0075,2026-06-01,52,0.411,0
C0076,2026-01-01,56,0.622,0
C0076,2026-02-01,59,0.659,0
C0076,2026-03-01,57,0.632,0
C0076,2026-04-01,57,0.64,2
C0076,2026-05-01,58,0.644,0
C0076,2026-06-01,57,0.633,2
C0077,2026-01-01,64,0.864,2
C0077,2026-02-01,43,0.578,2
C0077,2026-03-01,39,0.535,5
C0077,2026-04-01,33,0.454,1
C0077,2026-05-01,20,0.272,3
C0077,2026-06-01,14,0.198,2
C0078,2026-01-01,20,0.913,0
C0078,2026-02-01,16,0.742,0
C0078,2026-03-01,18,0.823,1
C0078,2026-04-01,16,0.732,0
C0078,2026-05-01,19,0.901,3
C0078,2026-06-01,17,0.8,1
C0079,2026-01-01,59,0.515,1
C0079,2026-02-01,50,0.441,0
C0079,2026-03-01,58,0.504,1
C0079,2026-04-01,63,0.549,1
C0079,2026-05-01,57,0.496,0
C0079,2026-06-01,58,0.505,2
C0080,2026-01-01,44,0.694,2
C0080,2026-02-01,46,0.717,1
C0080,2026-03-01,41,0.643,2
C0080,2026-04-01,37,0.584,1
C0080,2026-05-01,40,0.632,2
C0080,2026-06-01,37,0.58,2
C0081,2026-01-01,24,0.595,2
C0081,2026-02-01,26,0.657,1
C0081,2026-03-01,24,0.599,0
C0081,2026-04-01,32,0.791,0
C0081,2026-05-01,31,0.779,2
C0081,2026-06-01,24,0.6,0
C0082,2026-01-01,43,0.404,1
C0082,2026-02-01,48,0.449,2
C0082,2026-03-01,48,0.449,1
C0082,2026-04-01,51,0.476,2
C0082,2026-05-01,46,0.434,0
C0082,2026-06-01,43,0.406,1
C0083,2026-01-01,43,0.702,1
C0083,2026-02-01,31,0.511,4
C0083,2026-03-01,23,0.382,4
C0083,2026-04-01,24,0.391,4
C0083,2026-05-01,17,0.278,3
C0083,2026-06-01,8,0.139,3
C0084,2026-01-01,42,0.527,1
C0084,2026-02-01,30,0.378,3
C0084,2026-03-01,23,0.286,5
C0084,2026-04-01,23,0.289,2
C0084,2026-05-01,16,0.202,1
C0084,2026-06-01,9,0.124,2
C0085,2026-01-01,36,0.673,1
C0085,2026-02-01,33,0.617,1
C0085,2026-03-01,32,0.609,1
C0085,2026-04-01,31,0.58,0
C0085,2026-05-01,33,0.624,0
C0085,2026-06-01,30,0.566,0
C0086,2026-01-01,28,0.927,3
C0086,2026-02-01,23,0.768,2
C0086,2026-03-01,29,0.949,2
C0086,2026-04-01,26,0.848,0
C0086,2026-05-01,29,0.938,0
C0086,2026-06-01,30,0.969,1
C0087,2026-01-01,13,0.453,1
C0087,2026-02-01,16,0.535,1
C0087,2026-03-01,15,0.512,0
C0087,2026-04-01,16,0.547,0
C0087,2026-05-01,17,0.578,2
C0087,2026-06-01,14,0.48,1
C0088,2026-01-01,15,0.553,3
C0088,2026-02-01,15,0.55,2
C0088,2026-03-01,18,0.667,1
C0088,2026-04-01,14,0.521,1
C0088,2026-05-01,17,0.602,1
C0088,2026-06-01,15,0.563,0
C0089,2026-01-01,52,0.576,0
C0089,2026-02-01,53,0.588,0
C0089,2026-03-01,48,0.529,1
C0089,2026-04-01,47,0.526,1
C0089,2026-05-01,45,0.5,0
C0089,2026-06-01,53,0.586,1
C0090,2026-01-01,27,0.566,5
C0090,2026-02-01,25,0.525,0
C0090,2026-03-01,20,0.436,2
C0090,2026-04-01,17,0.357,4
C0090,2026-05-01,10,0.219,2
C0090,2026-06-01,7,0.16,2
C0091,2026-01-01,57,0.74,5
C0091,2026-02-01,48,0.624,4
C0091,2026-03-01,36,0.477,4
C0091,2026-04-01,29,0.387,1
C0091,2026-05-01,18,0.245,4
C0091,2026-06-01,12,0.158,3
C0092,2026-01-01,21,0.498,0
C0092,2026-02-01,24,0.556,0
C0092,2026-03-01,22,0.507,1
C0092,2026-04-01,22,0.505,0
C0092,2026-05-01,26,0.609,0
C0092,2026-06-01,21,0.491,1
C0093,2026-01-01,44,0.873,1
C0093,2026-02-01,50,0.978,1
C0093,2026-03-01,44,0.872,0
C0093,2026-04-01,39,0.763,1
C0093,2026-05-01,40,0.791,0
C0093,2026-06-01,40,0.781,0
C0094,2026-01-01,55,0.433,0
C0094,2026-02-01,53,0.423,0
C0094,2026-03-01,56,0.444,0
C0094,2026-04-01,61,0.483,2
C0094,2026-05-01,48,0.38,0
C0094,2026-06-01,53,0.423,1
C0095,2026-01-01,58,0.78,1
C0095,2026-02-01,40,0.54,1
C0095,2026-03-01,40,0.53,5
C0095,2026-04-01,31,0.412,2
C0095,2026-05-01,21,0.286,4
C0095,2026-06-01,13,0.174,3
C0096,2026-01-01,40,0.619,1
C0096,2026-02-01,32,0.504,0
C0096,2026-03-01,32,0.5,0
C0096,2026-04-01,38,0.592,1
C0096,2026-05-01,38,0.592,0
C0096,2026-06-01,38,0.594,0
C0097,2026-01-01,31,0.794,1
C0097,2026-02-01,29,0.725,0
C0097,2026-03-01,27,0.689,0
C0097,2026-04-01,28,0.708,1
C0097,2026-05-01,28,0.699,0
C0097,2026-06-01,29,0.74,0
C0098,2026-01-01,51,0.538,2
C0098,2026-02-01,56,0.582,0
C0098,2026-03-01,55,0.579,1
C0098,2026-04-01,49,0.51,2
C0098,2026-05-01,64,0.663,2
C0098,2026-06-01,55,0.574,1
C0099,2026-01-01,33,0.824,1
C0099,2026-02-01,28,0.71,0
C0099,2026-03-01,24,0.611,2
C0099,2026-04-01,17,0.432,1
C0099,2026-05-01,12,0.306,1
C0099,2026-06-01,8,0.199,5
C0100,2026-01-01,50,0.673,2
C0100,2026-02-01,39,0.525,6
C0100,2026-03-01,34,0.458,2
C0100,2026-04-01,27,0.366,4
C0100,2026-05-01,22,0.303,1
C0100,2026-06-01,12,0.172,2
C0101,2026-01-01,53,0.829,0
C0101,2026-02-01,60,0.941,1
C0101,2026-03-01,55,0.869,0
C0101,2026-04-01,59,0.93,0
C0101,2026-05-01,60,0.934,0
C0101,2026-06-01,55,0.861,0
C0102,2026-01-01,39,0.517,3
C0102,2026-02-01,31,0.41,3
C0102,2026-03-01,29,0.382,1
C0102,2026-04-01,20,0.27,3
C0102,2026-05-01,15,0.202,0
C0102,2026-06-01,8,0.105,1
C0103,2026-01-01,14,0.715,0
C0103,2026-02-01,18,0.898,1
C0103,2026-03-01,14,0.709,0
C0103,2026-04-01,14,0.698,1
C0103,2026-05-01,15,0.73,1
C0103,2026-06-01,17,0.852,2
C0104,2026-01-01,16,0.643,4
C0104,2026-02-01,16,0.642,2
C0104,2026-03-01,12,0.507,5
C0104,2026-04-01,10,0.429,1
C0104,2026-05-01,7,0.317,0
C0104,2026-06-01,4,0.195,3
C0105,2026-01-01,38,0.624,2
C0105,2026-02-01,38,0.626,3
C0105,2026-03-01,30,0.497,5
C0105,2026-04-01,21,0.343,1
C0105,2026-05-01,19,0.311,2
C0105,2026-06-01,11,0.184,5
C0106,2026-01-01,36,0.447,2
C0106,2026-02-01,29,0.365,3
C0106,2026-03-01,25,0.312,5
C0106,2026-04-01,20,0.252,1
C0106,2026-05-01,11,0.144,3
C0106,2026-06-01,7,0.09,6
C0107,2026-01-01,24,0.539,1
C0107,2026-02-01,22,0.482,0
C0107,2026-03-01,22,0.498,1
C0107,2026-04-01,26,0.567,2
C0107,2026-05-01,20,0.455,1
C0107,2026-06-01,27,0.592,1
C0108,2026-01-01,50,0.783,1
C0108,2026-02-01,40,0.626,1
C0108,2026-03-01,46,0.72,2
C0108,2026-04-01,48,0.754,0
C0108,2026-05-01,46,0.714,0
C0108,2026-06-01,48,0.756,1
C0109,2026-01-01,16,0.431,2
C0109,2026-02-01,14,0.386,4
C0109,2026-03-01,10,0.271,3
C0109,2026-04-01,7,0.21,6
C0109,2026-05-01,6,0.161,1
C0109,2026-06-01,4,0.112,2
C0110,2026-01-01,39,0.686,0
C0110,2026-02-01,48,0.826,0
C0110,2026-03-01,47,0.825,2
C0110,2026-04-01,46,0.808,2
C0110,2026-05-01,47,0.813,0
C0110,2026-06-01,38,0.664,1
C0111,2026-01-01,58,0.838,1
C0111,2026-02-01,50,0.729,0
C0111,2026-03-01,51,0.736,0
C0111,2026-04-01,66,0.952,0
C0111,2026-05-01,66,0.945,0
C0111,2026-06-01,60,0.86,0
C0112,2026-01-01,18,0.541,5
C0112,2026-02-01,12,0.356,4
C0112,2026-03-01,10,0.313,1
C0112,2026-04-01,8,0.241,4
C0112,2026-05-01,7,0.215,0
C0112,2026-06-01,4,0.134,4
C0113,2026-01-01,19,0.56,1
C0113,2026-02-01,19,0.561,0
C0113,2026-03-01,20,0.607,1
C0113,2026-04-01,20,0.579,1
C0113,2026-05-01,19,0.556,0
C0113,2026-06-01,18,0.53,1
C0114,2026-01-01,24,0.84,1
C0114,2026-02-01,20,0.695,0
C0114,2026-03-01,24,0.854,1
C0114,2026-04-01,21,0.758,0
C0114,2026-05-01,20,0.699,1
C0114,2026-06-01,21,0.731,1
C0115,2026-01-01,20,0.616,0
C0115,2026-02-01,21,0.648,1
C0115,2026-03-01,18,0.553,0
C0115,2026-04-01,20,0.617,0
C0115,2026-05-01,16,0.49,0
C0115,2026-06-01,17,0.532,1
C0116,2026-01-01,41,0.617,2
C0116,2026-02-01,48,0.731,1
C0116,2026-03-01,42,0.632,1
C0116,2026-04-01,45,0.68,1
C0116,2026-05-01,45,0.676,0
C0116,2026-06-01,37,0.565,1
C0117,2026-01-01,49,0.506,0
C0117,2026-02-01,47,0.478,0
C0117,2026-03-01,50,0.51,3
C0117,2026-04-01,52,0.528,2
C0117,2026-05-01,58,0.594,0
C0117,2026-06-01,48,0.491,2
C0118,2026-01-01,34,0.492,0
C0118,2026-02-01,33,0.475,2
C0118,2026-03-01,36,0.526,1
C0118,2026-04-01,37,0.535,0
C0118,2026-05-01,36,0.52,0
C0118,2026-06-01,34,0.497,0
C0119,2026-01-01,26,0.626,4
C0119,2026-02-01,22,0.525,3
C0119,2026-03-01,16,0.38,3
C0119,2026-04-01,12,0.297,4
C0119,2026-05-01,10,0.25,3
C0119,2026-06-01,6,0.158,1
C0120,2026-01-01,29,0.71,0
C0120,2026-02-01,34,0.81,1
C0120,2026-03-01,37,0.902,1
C0120,2026-04-01,37,0.888,0
C0120,2026-05-01,35,0.847,0
C0120,2026-06-01,40,0.955,0
C0121,2026-01-01,27,0.618,0
C0121,2026-02-01,28,0.661,0
C0121,2026-03-01,26,0.612,1
C0121,2026-04-01,28,0.645,1
C0121,2026-05-01,29,0.685,0
C0121,2026-06-01,26,0.596,1
C0122,2026-01-01,39,0.506,4
C0122,2026-02-01,38,0.496,2
C0122,2026-03-01,28,0.361,0
C0122,2026-04-01,26,0.335,2
C0122,2026-05-01,17,0.229,1
C0122,2026-06-01,10,0.134,3
C0123,2026-01-01,47,0.439,1
C0123,2026-02-01,43,0.398,4
