client_id,signup_date,plan_type,monthly_revenue,industry,region
C0168,2024-02-23,Basic,57.23,Healthcare,East
C0169,2024-02-26,Pro,202.04,EdTech,North
C0170,2024-04-10,Basic,49.05,Retail,West
C0171,2024-06-10,Enterprise,899.56,Manufacturing,West
C0172,2024-02-28,Basic,54.26,Manufacturing,West
C0173,2024-10-02,Pro,183.21,Finance,South
C0174,2023-10-22,Pro,234.68,Retail,North
C0175,2024-10-07,Pro,198.15,Healthcare,East
C0176,2024-07-18,Basic,52.1,Healthcare,North
C0177,2024-04-17,Enterprise,1157.92,Healthcare,West
C0178,2023-10-26,Pro,200.86,EdTech,West
C0179,2023-09-07,Pro,190.61,Healthcare,South
C0180,2023-03-13,Basic,59.58,EdTech,East
C0181,2024-06-03,Basic,44.15,Logistics,East
C0182,2024-08-24,Pro,231.63,Healthcare,West
C0183,2024-07-05,Pro,205.56,Manufacturing,West
C0184,2024-04-11,Enterprise,1246.59,Logistics,South
C0185,2024-08-08,Basic,60.88,EdTech,North
C0186,2023-11-22,Pro,235.24,EdTech,West
C0187,2024-11-10,Pro,231.0,Healthcare,West
C0188,2023-02-07,Basic,63.02,Finance,North
C0189,2024-03-26,Basic,61.94,Retail,South
C0190,2024-02-24,Enterprise,1286.69,Retail,West
C0191,2023-09-29,Basic,57.68,Logistics,North
C0192,2023-12-03,Enterprise,1242.49,EdTech,East
C0193,2024-10-03,Pro,239.55,Manufacturing,North
C0194,2024-09-24,Basic,56.47,Finance,South
C0195,2023-04-03,Pro,186.94,Logistics,North
C0196,2024-03-30,Basic,49.97,Retail,North
C0197,2023-11-29,Pro,202.45,Finance,West
C0198,2023-05-30,Basic,52.18,Logistics,South
C0199,2023-06-24,Basic,56.05,EdTech,South
C0200,2024-05-24,Enterprise,956.29,EdTech,East
C0201,2024-04-15,Basic,44.28,EdTech,East
C0202,2024-11-24,Pro,184.98,Finance,East
C0203,2024-10-16,Enterprise,1174.95,EdTech,East
C0204,2023-07-23,Enterprise,1240.09,Retail,South
C0205,2024-01-26,Pro,224.86,Logistics,East
C0206,2023-01-23,Enterprise,1162.13,Finance,North
C0207,2024-08-02,Enterprise,1210.11,Retail,West
C0208,2023-10-21,Pro,197.42,Finance,South
C0209,2024-10-13,Basic,49.01,Logistics,South
C0210,2024-10-05,Basic,56.4,Retail,East
C0211,2024-03-27,Basic,51.25,Healthcare,North
C0212,2023-10-30,Basic,52.24,Healthcare,South
C0213,2024-07-06,Enterprise,1045.3,Manufacturing,East
C0214,2023-06-18,Basic,60.26,EdTech,East
C0215,2023-12-13,Enterprise,1086.25,Retail,South
C0216,2023-08-20,Enterprise,1188.5,EdTech,East
C0217,2023-04-03,Pro,180.21,Manufacturing,North
C0218,2024-04-10,Basic,58.78,Finance,West
C0219,2024-10-15,Enterprise,942.4,Healthcare,West
C0220,2023-01-26,Pro,254.18,Finance,South
C0221,2024-10-25,Basic,60.25,Logistics,East
C0222,2024-10-26,Pro,190.23,Retail,East
C0223,2024-05-19,Basic,48.7,Manufacturing,South
C0224,2024-02-02,Pro,232.47,Logistics,West
C0225,2024-08-24,Pro,191.4,EdTech,North
C0226,2024-05-16,Pro,253.85,Finance,North
C0227,2024-01-15,Basic,52.82,Healthcare,East
C0228,2023-04-12,Enterprise,1045.89,Logistics,East
C0229,2023-03-04,Basic,47.82,Retail,West
C0230,2023-04-04,Pro,230.18,Manufacturing,North
C0231,2023-02-21,Pro,198.49,Healthcare,South
C0232,2023-03-12,Enterprise,1120.56,Manufacturing,South
C0233,2023-08-27,Basic,46.99,Manufacturing,North
C0234,2023-10-11,Enterprise,956.92,Healthcare,East
C0235,2023-06-28,Basic,61.08,Healthcare,North
C0236,2024-01-02,Pro,198.04,Finance,North
C0237,2023-06-28,Basic,46.58,EdTech,North
C0238,2023-03-07,Pro,241.03,Manufacturing,North
C0239,2024-04-07,Pro,254.36,Retail,East
C0240,2024-04-14,Pro,181.58,EdTech,West
C0241,2024-03-12,Pro,218.13,EdTech,North
C0242,2023-03-24,Basic,47.01,Healthcare,East
C0243,2024-10-01,Pro,222.75,Finance,West
C0244,2024-09-03,Pro,215.22,Manufacturing,West
C0245,2023-04-12,Pro,188.21,Logistics,South
C0246,2024-03-16,Pro,197.29,Finance,West
C0247,2024-02-13,Pro,186.67,EdTech,East
C0248,2024-11-12,Basic,62.79,Logistics,West
C0249,2023-03-10,Basic,45.77,EdTech,North
C0250,2024-01-17,Enterprise,1121.43,Manufacturing,East
C0251,2024-11-17,Basic,51.03,Logistics,West
C0252,2023-02-22,Enterprise,1139.02,Finance,North
C0253,2024-08-14,Pro,191.42,EdTech,South
C0254,2023-04-21,Basic,55.0,Retail,East
C0255,2024-08-10,Basic,52.51,Manufacturing,North
C0256,2024-09-15,Enterprise,1230.55,Finance,North
C0257,2023-07-04,Basic,59.04,Finance,East
C0258,2023-01-07,Basic,46.91,Logistics,West
C0259,2023-03-13,Basic,56.51,Retail,North
C0260,2024-06-27,Basic,52.33,Finance,South
C0261,2024-01-14,Basic,50.46,Manufacturing,North
C0262,2023-02-23,Basic,58.89,Retail,North
C0263,2023-10-06,Pro,212.85,Manufacturing,West
C0264,2024-02-29,Basic,58.9,Retail,East
C0265,2024-03-16,Basic,57.39,Manufacturing,West
C0266,2024-06-23,Pro,182.72,EdTech,North
C0267,2023-01-08,Basic,62.63,Healthcare,East
C0268,2023-10-24,Basic,44.25,Logistics,West
C0269,2023-06-29,Basic,54.54,Healthcare,East
C0270,2023-03-15,Basic,58.64,EdTech,North
C0271,2024-04-15,Enterprise,1243.6,Manufacturing,West
C0272,2024-08-10,Pro,230.06,Finance,North
C0273,2024-02-19,Basic,50.47,Manufacturing,West
C0274,2024-01-06,Basic,60.65,Healthcare,West
C0275,2024-08-26,Pro,185.36,Finance,East
C0276,2023-08-15,Basic,47.4,Manufacturing,North
C0277,2024-06-27,Pro,251.21,Finance,East
C0278,2024-10-22,Enterprise,993.51,Healthcare,East
C0279,2023-07-22,Basic,47.1,Logistics,North
C0280,2023-07-01,Enterprise,1150.03,EdTech,West
C0281,2024-11-28,Enterprise,1124.67,Logistics,East
C0282,2024-10-04,Basic,52.72,EdTech,West
C0283,2024-10-08,Basic,49.48,Retail,East
C0284,2024-06-03,Basic,53.15,Retail,North
C0285,2024-01-13,Enterprise,929.76,Retail,West
C0286,2024-04-18,Pro,255.06,Logistics,North
C0287,2024-04-05,Enterprise,1127.53,Healthcare,East
C0288,2024-09-11,Pro,191.11,Retail,West
C0289,2023-04-16,Enterprise,1233.72,Logistics,North
C0290,2024-05-31,Pro,182.22,Logistics,West
C0291,2024-03-25,Pro,227.64,Finance,East
C0292,2023-10-17,Basic,59.28,Logistics,North
C0293,2024-10-08,Pro,184.35,Retail,West
C0294,2023-10-18,Basic,60.79,Manufacturing,South
C0295,2023-12-08,Basic,57.11,Finance,East
C0296,2024-11-02,Pro,210.3,Manufacturing,North
C0297,2023-11-14,Pro,230.32,Finance,South
C0298,2024-11-17,Pro,254.49,Logistics,North
C0299,2024-10-23,Pro,219.58,Retail,East
C0300,2023-11-13,Basic,48.3,EdTech,South
